time,pwmL,pwmR,encL,encR
19.5733623504639,0,0,1196,1287
19.5843696594238,0,0,1196,1287
19.5949649810791,0,0,1196,1287
19.6059169769287,0,0,1196,1287
19.6168575286865,0,0,1196,1287
19.6272964477539,0,0,1196,1287
19.6381969451904,0,0,1196,1287
19.6491603851318,0,0,1196,1287
19.6597480773926,0,0,1196,1287
19.6707725524902,0,0,1196,1287
19.6816902160645,0,0,1196,1287
19.6922016143799,0,0,1196,1287
19.7030963897705,0,0,1196,1287
19.7136363983154,0,0,1196,1287
19.7246608734131,0,0,1196,1287
19.7355327606201,0,0,1196,1287
19.7460517883301,0,0,1196,1287
19.7570705413818,0,0,1196,1287
19.7680969238281,0,0,1196,1287
19.7785625457764,0,0,1196,1287
19.7895450592041,0,0,1196,1287
19.8004379272461,0,0,1196,1287
19.8109741210937,0,0,1196,1287
19.8219013214111,0,0,1196,1287
19.83278465271,0,0,1196,1287
19.8444576263428,300,300,1195,1286
19.8554611206055,300,300,1183,1274
19.8664779663086,300,300,1168,1258
19.8774852752686,300,300,1152,1242
19.8885879516602,300,300,1132,1222
19.8996963500977,300,300,1110,1198
19.9106864929199,300,300,1090,1178
19.9217777252197,300,300,1066,1154
19.9329299926758,300,300,1038,1127
19.9441757202148,300,300,1010,1100
19.9554061889648,300,300,982,1072
19.966682434082,300,300,951,1042
19.9779205322266,300,300,920,1011
19.9890842437744,300,300,888,979
20.0003528594971,300,300,855,946
20.0116214752197,300,300,822,912
20.0227336883545,300,300,790,880
20.03395652771,300,300,758,847
20.0452442169189,300,300,724,813
20.056526184082,300,300,690,779
20.0678329467773,300,300,656,746
20.0790767669678,300,300,622,712
20.0903873443603,300,300,588,678
20.1017055511475,300,300,553,644
20.1129741668701,300,300,520,610
20.1241207122803,300,300,486,577
20.1353969573975,300,300,452,544
20.1468734741211,300,300,417,509
20.1581573486328,300,300,382,475
20.1693687438965,300,300,348,441
20.1806812286377,300,300,313,406
20.19189453125,300,300,280,372
20.2032051086426,300,300,245,337
20.2145042419434,300,300,211,303
20.2257957458496,300,300,177,269
20.2371101379395,300,300,142,234
20.2485179901123,300,300,108,198
20.259916305542,300,300,73,163
20.2711620330811,300,300,39,128
20.2824649810791,300,300,5,94
20.2938404083252,300,300,-29,60
20.3050842285156,300,300,-62,26
20.3155612945557,300,300,-93,-4
20.3269119262695,300,300,-127,-39
20.3375663757324,0,0,-153,-65
20.3482208251953,0,0,-168,-80
20.3589248657227,0,0,-177,-90
20.3693447113037,0,0,-184,-97
20.3799819946289,0,0,-188,-103
20.3909931182861,0,0,-191,-106
20.4019737243652,0,0,-192,-107
20.4124088287354,0,0,-193,-108
20.4233360290527,0,0,-193,-109
20.4338436126709,0,0,-193,-110
20.4443130493164,0,0,-193,-110
20.4552574157715,0,0,-193,-110
20.4663047790527,0,0,-193,-110
20.4768943786621,0,0,-193,-110
20.4878368377686,0,0,-193,-110
20.4987411499023,0,0,-193,-110
20.5092334747314,0,0,-193,-110
20.5200119018555,0,0,-193,-109
20.5310325622559,0,0,-192,-109
20.5415000915527,0,0,-192,-109
20.5524806976318,0,0,-192,-109
20.5634059906006,0,0,-191,-109
20.5739860534668,0,0,-191,-109
20.5849094390869,0,0,-191,-109
20.5958404541016,0,0,-191,-109
20.6062564849854,0,0,-192,-109
20.6171684265137,0,0,-192,-109
20.6280364990234,0,0,-192,-109
20.6386566162109,0,0,-192,-109
20.6491088867187,0,0,-192,-109
20.6596240997314,0,0,-192,-109
20.6706848144531,0,0,-192,-109
20.6815929412842,0,0,-192,-109
20.6921138763428,0,0,-192,-109
20.7030448913574,0,0,-192,-109
20.7141056060791,0,0,-192,-109
20.7246284484863,0,0,-192,-109
20.735164642334,0,0,-192,-109
20.7456760406494,0,0,-192,-109
20.7567119598389,0,0,-192,-109
20.7676410675049,0,0,-192,-109
20.778133392334,0,0,-192,-109
20.789026260376,0,0,-192,-109
20.8000526428223,0,0,-192,-109
20.8105411529541,0,0,-192,-109
20.8211975097656,400,400,-189,-107
20.8322925567627,400,400,-175,-92
20.8433074951172,400,400,-155,-71
20.8544960021973,400,400,-132,-47
20.8650131225586,400,400,-106,-20
20.8761253356934,400,400,-74,12
20.8869094848633,400,400,-43,46
20.8985252380371,400,400,-8,83
20.9099559783936,400,400,27,121
20.9213485717773,400,400,63,159
20.9327774047852,400,400,100,198
20.9440364837646,400,400,138,236
20.9554138183594,400,400,175,275
20.9667205810547,400,400,212,314
20.978048324585,400,400,250,353
20.9893932342529,400,400,287,392
21.0008220672607,400,400,326,432
21.0121612548828,400,400,365,472
21.0237083435059,400,400,405,513
21.0343723297119,400,400,444,554
21.0459995269775,400,400,490,600
21.0574722290039,400,400,536,646
21.0690078735352,400,400,582,692
21.0805130004883,400,400,627,738
21.0921325683594,400,400,672,784
21.1036491394043,400,400,717,829
21.115161895752,400,400,760,873
21.1268615722656,400,400,805,918
21.1383686065674,400,400,851,963
21.1499881744385,400,400,897,1009
21.1614208221436,400,400,944,1054
21.1730003356934,400,400,990,1100
21.1844253540039,400,400,1034,1144
21.1958179473877,400,400,1078,1187
21.2072601318359,400,400,1123,1232
21.2190265655518,400,400,1169,1279
21.2304782867432,400,400,1214,1324
21.2410011291504,400,400,1260,1370
21.2534198760986,400,400,1304,1414
21.2649250030518,400,400,1349,1460
21.2762966156006,400,400,1393,1504
21.2878398895264,400,400,1438,1550
21.2992458343506,400,400,1483,1595
21.309778213501,0,0,1521,1633
21.3205661773682,0,0,1544,1657
21.3313541412354,0,0,1559,1673
21.3418579101562,0,0,1569,1684
21.3523979187012,0,0,1574,1689
21.3633937835693,0,0,1576,1692
21.3743877410889,0,0,1576,1692
21.3849849700928,0,0,1576,1692
21.3959560394287,0,0,1576,1692
21.4070091247559,0,0,1576,1692
21.4174938201904,0,0,1576,1692
21.4285449981689,0,0,1576,1691
21.4394931793213,0,0,1576,1691
21.450080871582,0,0,1576,1691
21.4610443115234,0,0,1575,1690
21.4721202850342,0,0,1574,1688
21.4826526641846,0,0,1573,1686
21.4930820465088,0,0,1573,1686
21.5035839080811,0,0,1573,1686
21.5140743255615,0,0,1573,1686
21.5251331329346,0,0,1573,1686
21.5356578826904,0,0,1573,1687
21.5460605621338,0,0,1573,1687
21.556526184082,0,0,1573,1687
21.567569732666,0,0,1573,1687
21.5784721374512,0,0,1573,1687
21.5890254974365,0,0,1573,1687
21.5999011993408,0,0,1573,1687
21.6109733581543,0,0,1573,1687
21.6214561462402,0,0,1573,1687
21.6324691772461,0,0,1573,1687
21.6433486938477,0,0,1573,1687
21.6539649963379,0,0,1573,1687
21.6649417877197,0,0,1573,1687
21.6759414672852,0,0,1573,1687
21.6863536834717,0,0,1573,1687
21.6971759796143,0,0,1573,1687
21.7083072662354,0,0,1573,1687
21.7189292907715,0,0,1573,1687
21.7299404144287,0,0,1573,1687
21.7409210205078,0,0,1573,1687
21.7513847351074,0,0,1573,1687
21.762336730957,0,0,1573,1687
21.7733478546143,0,0,1573,1687
21.7839336395264,0,0,1573,1687
21.7949695587158,400,400,1572,1686
21.8059768676758,400,400,1558,1672
21.8170127868652,400,400,1539,1653
21.8281211853027,400,400,1516,1631
21.8392696380615,400,400,1488,1603
21.8497695922852,400,400,1459,1574
21.8607730865479,400,400,1432,1547
21.8714008331299,400,400,1403,1518
21.8827781677246,400,400,1368,1484
21.8942604064941,400,400,1332,1449
21.9056167602539,400,400,1301,1417
21.9169292449951,400,400,1267,1382
21.9282207489014,400,400,1229,1344
21.9397296905518,400,400,1186,1301
21.9511756896973,400,400,1142,1259
21.9626293182373,400,400,1099,1217
21.9740695953369,400,400,1056,1174
21.9853839874268,400,400,1013,1131
21.9970169067383,400,400,968,1086
22.0085334777832,400,400,923,1040
22.0200843811035,400,400,876,993
22.0315914154053,400,400,829,947
22.0430698394775,400,400,783,900
22.0545768737793,400,400,737,854
22.0661334991455,400,400,691,808
